Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,month,day,hour
4355,2020-07-02 04:00:00,06-30-2020 10:00,2020-07-01 07:38:00,Pune,553,1,19,F,Blunt Object,Violent Crime,5,Yes,31-08-2020 04:00,7,2,7
4356,2020-07-03 10:00:00,06-30-2020 11:00,2020-07-01 06:56:00,Pune,252,19,74,F,Explosives,Other Crime,2,Yes,17-09-2020 10:00,7,3,6
4357,2020-07-02 12:00:00,06-30-2020 12:00,2020-06-30 19:52:00,Bangalore,558,3,68,F,Other,Other Crime,11,Yes,04-08-2020 12:00,7,2,19
4359,2020-07-02 20:00:00,06-30-2020 14:00,2020-07-01 12:19:00,Visakhapatnam,129,20,13,F,Other,Violent Crime,3,Yes,11-07-2020 20:00,7,2,12
4360,2020-07-02 23:00:00,06-30-2020 15:00,2020-07-01 09:33:00,Bangalore,532,5,31,F,Knife,Violent Crime,17,Yes,22-07-2020 23:00,7,2,9
4363,2020-07-03 12:00:00,06-30-2020 18:00,2020-07-01 17:15:00,Delhi,340,2,52,F,Blunt Object,Other Crime,14,Yes,20-08-2020 12:00,7,3,17
4366,2020-07-01 13:00:00,06-30-2020 21:00,2020-07-01 03:11:00,Kanpur,413,7,17,F,Firearm,Other Crime,12,Yes,14-09-2020 13:00,7,1,3
4369,2020-07-02 09:00:00,07-01-2020 00:00,2020-07-01 03:48:00,Thane,278,20,52,F,Other,Violent Crime,19,Yes,24-09-2020 09:00,7,2,3
4371,2020-07-01 19:00:00,07-01-2020 02:00,2020-07-01 23:07:00,Delhi,529,2,49,F,Firearm,Other Crime,6,Yes,03-12-2020 19:00,7,1,23
4376,2020-07-03 19:00:00,07-01-2020 07:00,2020-07-02 05:44:00,Nashik,202,16,43,M,Firearm,Violent Crime,7,Yes,14-01-2022 19:00,7,3,5
4379,2020-07-04 04:00:00,07-01-2020 10:00,2020-07-01 12:37:00,Delhi,320,3,61,M,Blunt Object,Other Crime,10,Yes,29-09-2020 04:00,7,4,12
4380,2020-07-01 12:00:00,07-01-2020 11:00,2020-07-01 16:30:00,Ludhiana,128,6,15,M,Firearm,Other Crime,4,Yes,25-09-2020 12:00,7,1,16
4385,2020-07-03 18:00:00,07-01-2020 16:00,2020-07-01 22:27:00,Kolkata,155,5,26,F,Poison,Violent Crime,8,Yes,12-08-2020 18:00,7,3,22
4388,2020-07-02 16:00:00,07-01-2020 19:00,2020-07-02 15:44:00,Patna,385,11,32,F,Knife,Violent Crime,14,Yes,12-08-2020 16:00,7,2,15
4389,2020-07-03 04:00:00,07-01-2020 20:00,2020-07-02 12:22:00,Visakhapatnam,395,12,11,F,Knife,Other Crime,18,Yes,16-09-2020 04:00,7,3,12
4393,2020-07-02 06:00:00,07-02-2020 00:00,2020-07-02 14:39:00,Mumbai,599,10,72,F,Knife,Other Crime,15,Yes,06-05-2022 06:00,7,2,14
4394,2020-07-02 08:00:00,07-02-2020 01:00,2020-07-02 21:51:00,Bhopal,234,9,54,F,Poison,Other Crime,10,Yes,16-08-2020 08:00,7,2,21
4397,2020-07-04 03:00:00,07-02-2020 04:00,2020-07-02 07:06:00,Mumbai,393,0,53,F,Firearm,Fire Accident,1,Yes,15-08-2020 03:00,7,4,7
4400,2020-07-03 16:00:00,07-02-2020 07:00,2020-07-03 03:40:00,Lucknow,390,1,43,M,Firearm,Violent Crime,2,Yes,04-08-2020 16:00,7,3,3
4404,2020-07-03 01:00:00,07-02-2020 11:00,2020-07-02 19:11:00,Delhi,376,3,16,M,Blunt Object,Other Crime,13,Yes,20-09-2020 01:00,7,3,19
4408,2020-07-04 01:00:00,07-02-2020 15:00,2020-07-03 09:53:00,Delhi,479,17,73,F,Blunt Object,Other Crime,16,Yes,03-09-2020 01:00,7,4,9
4414,2020-07-04 13:00:00,07-02-2020 21:00,2020-07-03 10:26:00,Mumbai,125,9,10,F,Firearm,Other Crime,17,Yes,23-09-2020 13:00,7,4,10
4416,2020-07-05 13:00:00,07-02-2020 23:00,2020-07-03 17:08:00,Kanpur,109,2,73,M,Blunt Object,Other Crime,12,Yes,05-11-2020 13:00,7,5,17
4417,2020-07-03 17:00:00,07-03-2020 00:00,2020-07-03 15:57:00,Visakhapatnam,184,12,28,F,Explosives,Other Crime,12,Yes,29-09-2020 17:00,7,3,15
4419,2020-07-05 19:00:00,07-03-2020 02:00,2020-07-03 22:55:00,Hyderabad,363,0,14,M,Poison,Fire Accident,1,Yes,12-09-2020 19:00,7,5,22
4420,2020-07-05 16:00:00,07-03-2020 03:00,2020-07-04 01:04:00,Kolkata,298,12,64,M,Explosives,Other Crime,12,Yes,04-09-2020 16:00,7,5,1
4430,2020-07-05 05:00:00,07-03-2020 13:00,2020-07-04 09:45:00,Surat,424,4,20,F,Knife,Other Crime,3,Yes,09-09-2020 05:00,7,5,9
4432,2020-07-06 14:00:00,07-03-2020 15:00,2020-07-03 16:21:00,Kanpur,461,5,13,M,Blunt Object,Violent Crime,5,Yes,16-08-2020 14:00,7,6,16
4433,2020-07-06 05:00:00,07-03-2020 16:00,2020-07-03 18:25:00,Ahmedabad,231,5,35,F,Blunt Object,Violent Crime,18,Yes,12-08-2020 05:00,7,6,18
4437,2020-07-04 04:00:00,07-03-2020 20:00,2020-07-03 22:44:00,Jaipur,369,20,46,M,Poison,Violent Crime,14,Yes,27-07-2020 04:00,7,4,22
4438,2020-07-06 17:00:00,07-03-2020 21:00,2020-07-04 02:54:00,Chennai,503,16,15,F,Explosives,Violent Crime,1,Yes,23-02-2021 17:00,7,6,2
4445,2020-07-06 23:00:00,07-04-2020 04:00,2020-07-05 01:00:00,Pune,543,14,54,M,Explosives,Other Crime,6,Yes,21-07-2020 23:00,7,6,1
4448,2020-07-06 14:00:00,07-04-2020 07:00,2020-07-04 19:24:00,Mumbai,294,14,14,F,Blunt Object,Other Crime,16,Yes,26-07-2020 14:00,7,6,19
4449,2020-07-06 13:00:00,07-04-2020 08:00,2020-07-04 13:57:00,Mumbai,420,17,27,M,Blunt Object,Other Crime,14,Yes,14-07-2020 13:00,7,6,13
4450,2020-07-05 20:00:00,07-04-2020 09:00,2020-07-05 03:20:00,Meerut,325,4,38,F,Blunt Object,Other Crime,11,Yes,15-09-2020 20:00,7,5,3
4452,2020-07-05 06:00:00,07-04-2020 11:00,2020-07-04 14:38:00,Nagpur,358,14,36,F,Knife,Other Crime,13,Yes,24-07-2020 06:00,7,5,14
4462,2020-07-05 09:00:00,07-04-2020 21:00,2020-07-05 10:02:00,Chennai,260,6,21,F,Explosives,Other Crime,3,Yes,11-08-2020 09:00,7,5,10
4466,2020-07-07 20:00:00,07-05-2020 01:00,2020-07-05 09:05:00,Visakhapatnam,193,19,30,F,Blunt Object,Other Crime,18,Yes,17-07-2020 20:00,7,7,9
4467,2020-07-05 05:00:00,07-05-2020 02:00,2020-07-05 23:46:00,Delhi,211,15,71,M,Blunt Object,Violent Crime,7,Yes,25-08-2020 05:00,7,5,23
4468,2020-07-06 10:00:00,07-05-2020 03:00,2020-07-05 08:16:00,Visakhapatnam,492,5,13,M,Firearm,Violent Crime,15,Yes,14-08-2020 10:00,7,6,8
4469,2020-07-08 03:00:00,07-05-2020 04:00,2020-07-05 04:56:00,Surat,256,10,60,F,Other,Other Crime,11,Yes,02-05-2021 03:00,7,8,4
4470,2020-07-06 04:00:00,07-05-2020 05:00,2020-07-05 14:02:00,Ahmedabad,518,10,42,F,Explosives,Other Crime,2,Yes,06-09-2021 04:00,7,6,14
4471,2020-07-08 04:00:00,07-05-2020 06:00,2020-07-05 06:12:00,Hyderabad,280,5,52,M,Knife,Violent Crime,11,Yes,02-09-2020 04:00,7,8,6
4472,2020-07-07 17:00:00,07-05-2020 07:00,2020-07-06 01:47:00,Rajkot,289,14,30,M,Blunt Object,Other Crime,18,Yes,25-07-2020 17:00,7,7,1
4475,2020-07-06 06:00:00,07-05-2020 10:00,2020-07-05 22:06:00,Delhi,499,1,45,F,Blunt Object,Violent Crime,17,Yes,21-08-2020 06:00,7,6,22
4478,2020-07-06 02:00:00,07-05-2020 13:00,2020-07-06 10:11:00,Surat,153,2,69,F,Blunt Object,Other Crime,18,Yes,08-12-2020 02:00,7,6,10
4486,2020-07-08 09:00:00,07-05-2020 21:00,2020-07-06 03:47:00,Indore,307,3,51,F,Firearm,Other Crime,18,Yes,16-09-2020 09:00,7,8,3
4488,2020-07-07 05:00:00,07-05-2020 23:00,2020-07-05 23:52:00,Ahmedabad,587,11,69,F,Other,Violent Crime,5,Yes,26-09-2020 05:00,7,7,23
4493,2020-07-08 22:00:00,07-06-2020 04:00,2020-07-06 11:31:00,Ludhiana,509,18,43,F,Explosives,Traffic Fatality,8,Yes,01-08-2020 22:00,7,8,11
4494,2020-07-07 17:00:00,07-06-2020 05:00,2020-07-06 11:17:00,Hyderabad,366,8,49,M,Poison,Fire Accident,18,Yes,23-09-2020 17:00,7,7,11
4496,2020-07-08 22:00:00,07-06-2020 07:00,2020-07-07 06:21:00,Hyderabad,411,20,27,F,Poison,Violent Crime,18,Yes,20-09-2020 22:00,7,8,6
4505,2020-07-08 00:00:00,07-06-2020 16:00,2020-07-07 10:15:00,Srinagar,500,8,30,F,Firearm,Fire Accident,2,Yes,04-09-2020 00:00,7,8,10
4506,2020-07-07 08:00:00,07-06-2020 17:00,2020-07-06 21:50:00,Ghaziabad,214,14,38,F,Blunt Object,Other Crime,6,Yes,25-07-2020 08:00,7,7,21
4510,2020-07-08 00:00:00,07-06-2020 21:00,2020-07-07 13:45:00,Mumbai,277,9,35,F,Other,Other Crime,12,Yes,21-08-2020 00:00,7,8,13
4514,2020-07-08 12:00:00,07-07-2020 01:00,2020-07-07 05:28:00,Lucknow,173,2,24,F,Other,Other Crime,11,Yes,17-11-2020 12:00,7,8,5
4517,2020-07-09 23:00:00,07-07-2020 04:00,2020-07-07 17:56:00,Pune,114,16,74,M,Blunt Object,Violent Crime,19,Yes,08-08-2021 23:00,7,9,17
4518,2020-07-07 06:00:00,07-07-2020 05:00,2020-07-07 05:36:00,Hyderabad,491,7,32,F,Poison,Other Crime,17,Yes,03-10-2020 06:00,7,7,5
4520,2020-07-10 03:00:00,07-07-2020 07:00,2020-07-08 01:19:00,Delhi,500,10,13,M,Explosives,Other Crime,8,Yes,18-01-2022 03:00,7,10,1
4523,2020-07-09 11:00:00,07-07-2020 10:00,2020-07-08 00:56:00,Kolkata,267,19,60,F,Poison,Other Crime,5,Yes,25-08-2020 11:00,7,9,0
4524,2020-07-09 00:00:00,07-07-2020 11:00,2020-07-08 06:07:00,Thane,324,15,23,F,Firearm,Violent Crime,19,Yes,09-09-2020 00:00,7,9,6
4526,2020-07-07 14:00:00,07-07-2020 13:00,2020-07-08 12:36:00,Mumbai,267,10,60,F,Firearm,Other Crime,9,Yes,26-06-2022 14:00,7,7,12
4527,2020-07-08 05:00:00,07-07-2020 14:00,2020-07-08 09:30:00,Pune,120,19,57,M,Explosives,Other Crime,7,Yes,21-09-2020 05:00,7,8,9
4528,2020-07-07 20:00:00,07-07-2020 15:00,2020-07-08 08:34:00,Mumbai,427,11,75,F,Knife,Violent Crime,7,Yes,01-10-2020 20:00,7,7,8
4530,2020-07-08 19:00:00,07-07-2020 17:00,2020-07-08 03:43:00,Delhi,255,5,10,F,Blunt Object,Violent Crime,17,Yes,24-07-2020 19:00,7,8,3
4531,2020-07-09 06:00:00,07-07-2020 18:00,2020-07-08 17:59:00,Nagpur,442,10,30,F,Poison,Other Crime,18,Yes,02-04-2022 06:00,7,9,17
4536,2020-07-10 07:00:00,07-07-2020 23:00,2020-07-08 07:15:00,Bangalore,124,12,57,F,Poison,Other Crime,7,Yes,25-07-2020 07:00,7,10,7
4539,2020-07-09 02:00:00,07-08-2020 02:00,2020-07-08 05:59:00,Kanpur,139,3,36,M,Explosives,Other Crime,13,Yes,12-08-2020 02:00,7,9,5
4545,2020-07-10 01:00:00,07-08-2020 08:00,2020-07-09 02:56:00,Meerut,123,13,23,F,Explosives,Other Crime,1,Yes,02-09-2020 01:00,7,10,2
4546,2020-07-09 04:00:00,07-08-2020 09:00,2020-07-08 12:36:00,Chennai,192,20,12,M,Explosives,Violent Crime,9,Yes,03-10-2020 04:00,7,9,12
4547,2020-07-11 01:00:00,07-08-2020 10:00,2020-07-08 13:17:00,Thane,216,12,55,F,Blunt Object,Other Crime,8,Yes,06-10-2020 01:00,7,11,13
4548,2020-07-09 22:00:00,07-08-2020 11:00,2020-07-08 14:40:00,Mumbai,294,17,74,M,Poison,Other Crime,10,Yes,16-08-2020 22:00,7,9,14
4549,2020-07-08 15:00:00,07-08-2020 12:00,2020-07-08 15:42:00,Delhi,233,4,36,M,Knife,Other Crime,14,Yes,01-10-2020 15:00,7,8,15
4550,2020-07-09 23:00:00,07-08-2020 13:00,2020-07-09 01:39:00,Bangalore,256,19,21,M,Knife,Other Crime,9,Yes,02-10-2020 23:00,7,9,1
4553,2020-07-10 23:00:00,07-08-2020 16:00,2020-07-09 01:27:00,Lucknow,339,20,26,F,Poison,Violent Crime,3,Yes,25-09-2020 23:00,7,10,1
4554,2020-07-10 14:00:00,07-08-2020 17:00,2020-07-08 23:20:00,Hyderabad,461,19,74,F,Other,Other Crime,8,Yes,06-08-2020 14:00,7,10,23
4556,2020-07-09 20:00:00,07-08-2020 19:00,2020-07-09 09:29:00,Hyderabad,263,12,10,M,Other,Other Crime,16,Yes,25-07-2020 20:00,7,9,9
4557,2020-07-11 14:00:00,07-08-2020 20:00,2020-07-09 00:14:00,Ludhiana,279,11,46,F,Other,Violent Crime,1,Yes,03-08-2020 14:00,7,11,0
4559,2020-07-11 07:00:00,07-08-2020 22:00,2020-07-09 15:46:00,Agra,246,15,48,F,Explosives,Violent Crime,9,Yes,28-10-2020 07:00,7,11,15
4562,2020-07-09 14:00:00,07-09-2020 01:00,2020-07-09 11:06:00,Ludhiana,186,8,41,M,Knife,Fire Accident,9,Yes,05-09-2020 14:00,7,9,11
4563,2020-07-10 03:00:00,07-09-2020 02:00,2020-07-09 08:59:00,Hyderabad,149,8,31,F,Explosives,Fire Accident,12,Yes,24-08-2020 03:00,7,10,8
4567,2020-07-09 07:00:00,07-09-2020 06:00,2020-07-09 08:27:00,Kolkata,431,2,35,F,Explosives,Other Crime,13,Yes,01-01-2021 07:00,7,9,8
4570,2020-07-12 08:00:00,07-09-2020 09:00,2020-07-09 19:13:00,Delhi,248,0,79,F,Poison,Fire Accident,9,Yes,14-09-2020 08:00,7,12,19
4572,2020-07-10 21:00:00,07-09-2020 11:00,2020-07-09 18:21:00,Delhi,519,15,16,M,Poison,Violent Crime,3,Yes,26-10-2020 21:00,7,10,18
4573,2020-07-11 01:00:00,07-09-2020 12:00,2020-07-10 04:54:00,Jaipur,161,7,20,M,Blunt Object,Other Crime,12,Yes,31-08-2020 01:00,7,11,4
4578,2020-07-12 11:00:00,07-09-2020 17:00,2020-07-10 02:22:00,Nagpur,269,10,71,F,Knife,Other Crime,7,Yes,21-05-2022 11:00,7,12,2
4579,2020-07-11 18:00:00,07-09-2020 18:00,2020-07-09 20:53:00,Thane,108,9,34,F,Knife,Other Crime,11,Yes,21-09-2020 18:00,7,11,20
4582,2020-07-10 16:00:00,07-09-2020 21:00,2020-07-10 04:04:00,Agra,400,2,48,F,Knife,Other Crime,16,Yes,01-12-2020 16:00,7,10,4
4583,2020-07-11 08:00:00,07-09-2020 22:00,2020-07-10 01:28:00,Varanasi,540,20,73,F,Blunt Object,Violent Crime,14,Yes,19-08-2020 08:00,7,11,1
4592,2020-07-11 02:00:00,07-10-2020 07:00,2020-07-10 16:12:00,Varanasi,526,0,56,F,Firearm,Fire Accident,12,Yes,05-10-2020 02:00,7,11,16
4595,2020-07-11 10:00:00,07-10-2020 10:00,2020-07-10 12:57:00,Delhi,422,1,15,F,Firearm,Violent Crime,9,Yes,06-08-2020 10:00,7,11,12
4598,2020-07-11 14:00:00,07-10-2020 13:00,2020-07-11 00:58:00,Kolkata,110,5,47,M,Other,Violent Crime,2,Yes,19-09-2020 14:00,7,11,0
4599,2020-07-11 18:00:00,07-10-2020 14:00,2020-07-11 12:17:00,Delhi,341,0,22,M,Other,Fire Accident,18,Yes,27-08-2020 18:00,7,11,12
4600,2020-07-11 06:00:00,07-10-2020 15:00,2020-07-11 11:21:00,Bangalore,137,0,42,F,Other,Fire Accident,14,Yes,27-07-2020 06:00,7,11,11
4602,2020-07-11 05:00:00,07-10-2020 17:00,2020-07-11 13:25:00,Surat,356,13,69,F,Other,Other Crime,15,Yes,31-08-2020 05:00,7,11,13
4610,2020-07-12 05:00:00,07-11-2020 01:00,2020-07-11 15:09:00,Ahmedabad,236,17,69,M,Poison,Other Crime,11,Yes,27-07-2020 05:00,7,12,15
4614,2020-07-12 05:00:00,07-11-2020 05:00,2020-07-11 17:41:00,Lucknow,139,3,42,F,Firearm,Other Crime,5,Yes,12-08-2020 05:00,7,12,17
4617,2020-07-13 01:00:00,07-11-2020 08:00,2020-07-11 12:56:00,Surat,597,12,54,M,Knife,Other Crime,14,Yes,21-08-2020 01:00,7,13,12
4618,2020-07-12 01:00:00,07-11-2020 09:00,2020-07-11 14:39:00,Mumbai,509,10,42,F,Other,Other Crime,9,Yes,28-09-2021 01:00,7,12,14
4619,2020-07-13 16:00:00,07-11-2020 10:00,2020-07-12 07:27:00,Chennai,227,0,58,F,Firearm,Fire Accident,14,Yes,24-09-2020 16:00,7,13,7
4620,2020-07-13 02:00:00,07-11-2020 11:00,2020-07-11 19:35:00,Patna,286,14,10,F,Firearm,Other Crime,17,Yes,22-07-2020 02:00,7,13,19
4622,2020-07-13 06:00:00,07-11-2020 13:00,2020-07-12 12:46:00,Chennai,548,20,62,F,Other,Violent Crime,6,Yes,29-08-2020 06:00,7,13,12
4623,2020-07-11 21:00:00,07-11-2020 14:00,2020-07-11 16:22:00,Pune,553,10,29,F,Blunt Object,Other Crime,7,Yes,22-06-2021 21:00,7,11,16
4624,2020-07-12 06:00:00,07-11-2020 15:00,2020-07-12 08:41:00,Jaipur,463,11,67,F,Poison,Violent Crime,9,Yes,30-07-2020 06:00,7,12,8
4625,2020-07-12 01:00:00,07-11-2020 16:00,2020-07-12 01:27:00,Lucknow,244,11,14,F,Poison,Violent Crime,15,Yes,26-07-2020 01:00,7,12,1
4628,2020-07-14 10:00:00,07-11-2020 19:00,2020-07-12 16:10:00,Hyderabad,500,13,36,F,Knife,Other Crime,14,Yes,21-08-2020 10:00,7,14,16
4629,2020-07-12 09:00:00,07-11-2020 20:00,2020-07-12 05:12:00,Chennai,348,4,36,F,Blunt Object,Other Crime,2,Yes,07-09-2020 09:00,7,12,5
4630,2020-07-13 13:00:00,07-11-2020 21:00,2020-07-11 21:19:00,Mumbai,174,8,34,F,Knife,Fire Accident,14,Yes,05-08-2020 13:00,7,13,21
4632,2020-07-12 21:00:00,07-11-2020 23:00,2020-07-12 20:51:00,Hyderabad,572,7,11,F,Knife,Other Crime,19,Yes,24-08-2020 21:00,7,12,20
4638,2020-07-14 00:00:00,07-12-2020 05:00,2020-07-12 08:11:00,Kanpur,472,20,40,F,Poison,Violent Crime,17,Yes,09-08-2020 00:00,7,14,8
4639,2020-07-14 16:00:00,07-12-2020 06:00,2020-07-13 02:48:00,Nagpur,364,3,67,F,Knife,Other Crime,8,Yes,09-08-2020 16:00,7,14,2
4640,2020-07-14 15:00:00,07-12-2020 07:00,2020-07-12 23:08:00,Agra,376,14,32,M,Poison,Other Crime,14,Yes,20-07-2020 15:00,7,14,23
4642,2020-07-15 02:00:00,07-12-2020 09:00,2020-07-12 13:57:00,Srinagar,356,13,33,F,Other,Other Crime,16,Yes,09-09-2020 02:00,7,15,13
4644,2020-07-13 07:00:00,07-12-2020 11:00,2020-07-13 09:26:00,Bangalore,380,2,40,M,Poison,Other Crime,18,Yes,02-10-2020 07:00,7,13,9
4646,2020-07-12 22:00:00,07-12-2020 13:00,2020-07-13 00:57:00,Chennai,373,6,30,M,Other,Other Crime,16,Yes,25-07-2020 22:00,7,12,0
4650,2020-07-14 02:00:00,07-12-2020 17:00,2020-07-13 07:24:00,Mumbai,355,9,26,F,Firearm,Other Crime,9,Yes,14-08-2020 02:00,7,14,7
4651,2020-07-14 02:00:00,07-12-2020 18:00,2020-07-13 04:26:00,Nagpur,163,9,27,F,Knife,Other Crime,3,Yes,01-08-2020 02:00,7,14,4
4652,2020-07-13 21:00:00,07-12-2020 19:00,2020-07-13 05:27:00,Agra,145,19,18,F,Other,Other Crime,9,Yes,03-08-2020 21:00,7,13,5
4655,2020-07-13 03:00:00,07-12-2020 22:00,2020-07-12 23:30:00,Delhi,499,15,14,M,Poison,Violent Crime,11,Yes,03-09-2020 03:00,7,13,23
4657,2020-07-13 18:00:00,07-13-2020 00:00,2020-07-13 21:06:00,Patna,126,5,18,M,Poison,Violent Crime,17,Yes,07-08-2020 18:00,7,13,21
4659,2020-07-15 02:00:00,07-13-2020 02:00,2020-07-13 08:41:00,Kolkata,461,14,67,F,Firearm,Other Crime,12,Yes,03-08-2020 02:00,7,15,8
4661,2020-07-13 23:00:00,07-13-2020 04:00,2020-07-13 17:42:00,Pune,265,13,57,M,Poison,Other Crime,13,Yes,11-09-2020 23:00,7,13,17
4662,2020-07-14 23:00:00,07-13-2020 05:00,2020-07-13 13:57:00,Ghaziabad,458,11,78,M,Firearm,Violent Crime,5,Yes,25-09-2020 23:00,7,14,13
4665,2020-07-14 05:00:00,07-13-2020 08:00,2020-07-13 19:11:00,Indore,150,20,37,M,Firearm,Violent Crime,8,Yes,13-09-2020 05:00,7,14,19
4667,2020-07-15 02:00:00,07-13-2020 10:00,2020-07-13 14:30:00,Srinagar,381,10,70,F,Knife,Other Crime,10,Yes,05-10-2021 02:00,7,15,14
4668,2020-07-13 23:00:00,07-13-2020 11:00,2020-07-14 10:21:00,Ghaziabad,526,15,42,F,Blunt Object,Violent Crime,10,Yes,10-11-2020 23:00,7,13,10
4669,2020-07-15 19:00:00,07-13-2020 12:00,2020-07-14 01:40:00,Bhopal,439,13,23,M,Other,Other Crime,11,Yes,06-09-2020 19:00,7,15,1
4670,2020-07-16 07:00:00,07-13-2020 13:00,2020-07-13 21:45:00,Chennai,191,9,31,M,Other,Other Crime,14,Yes,15-08-2020 07:00,7,16,21
4671,2020-07-15 08:00:00,07-13-2020 14:00,2020-07-14 01:21:00,Delhi,433,10,28,F,Other,Other Crime,15,Yes,09-10-2021 08:00,7,15,1
4672,2020-07-14 01:00:00,07-13-2020 15:00,2020-07-13 22:35:00,Surat,455,8,27,M,Blunt Object,Fire Accident,14,Yes,31-08-2020 01:00,7,14,22
4676,2020-07-14 20:00:00,07-13-2020 19:00,2020-07-14 16:03:00,Meerut,346,5,79,M,Knife,Violent Crime,14,Yes,06-10-2020 20:00,7,14,16
4679,2020-07-14 09:00:00,07-13-2020 22:00,2020-07-14 03:19:00,Delhi,373,20,60,F,Blunt Object,Violent Crime,11,Yes,23-07-2020 09:00,7,14,3
4682,2020-07-15 23:00:00,07-14-2020 01:00,2020-07-14 05:48:00,Chennai,450,7,36,F,Firearm,Other Crime,16,Yes,16-09-2020 23:00,7,15,5
4683,2020-07-16 08:00:00,07-14-2020 02:00,2020-07-14 07:30:00,Bangalore,259,16,48,M,Firearm,Violent Crime,2,Yes,17-11-2021 08:00,7,16,7
4686,2020-07-15 16:00:00,07-14-2020 05:00,2020-07-14 15:45:00,Surat,212,0,15,F,Blunt Object,Fire Accident,8,Yes,09-09-2020 16:00,7,15,15
4688,2020-07-15 22:00:00,07-14-2020 07:00,2020-07-14 18:35:00,Bangalore,114,8,79,F,Knife,Fire Accident,12,Yes,23-09-2020 22:00,7,15,18
4689,2020-07-15 09:00:00,07-14-2020 08:00,2020-07-14 22:19:00,Kolkata,374,3,50,M,Knife,Other Crime,13,Yes,31-07-2020 09:00,7,15,22
4698,2020-07-15 10:00:00,07-14-2020 17:00,2020-07-15 13:00:00,Mumbai,168,13,69,F,Poison,Other Crime,12,Yes,02-08-2020 10:00,7,15,13
4699,2020-07-15 01:00:00,07-14-2020 18:00,2020-07-15 03:19:00,Lucknow,204,17,38,M,Firearm,Other Crime,13,Yes,30-08-2020 01:00,7,15,3
4701,2020-07-16 14:00:00,07-14-2020 20:00,2020-07-14 22:23:00,Srinagar,435,12,47,F,Blunt Object,Other Crime,5,Yes,30-09-2020 14:00,7,16,22
4704,2020-07-15 04:00:00,07-14-2020 23:00,2020-07-15 18:26:00,Ahmedabad,176,20,18,M,Blunt Object,Violent Crime,2,Yes,25-09-2020 04:00,7,15,18
4715,2020-07-15 23:00:00,07-15-2020 10:00,2020-07-15 14:03:00,Ghaziabad,430,3,28,M,Firearm,Other Crime,8,Yes,09-10-2020 23:00,7,15,14
4719,2020-07-17 09:00:00,07-15-2020 14:00,2020-07-16 05:14:00,Meerut,412,18,56,F,Explosives,Traffic Fatality,19,Yes,13-08-2020 09:00,7,17,5
4721,2020-07-16 18:00:00,07-15-2020 16:00,2020-07-15 22:00:00,Pune,586,11,17,M,Other,Violent Crime,9,Yes,04-09-2020 18:00,7,16,22
4723,2020-07-16 23:00:00,07-15-2020 18:00,2020-07-16 14:12:00,Nashik,449,11,37,M,Poison,Violent Crime,19,Yes,15-08-2020 23:00,7,16,14
4724,2020-07-18 17:00:00,07-15-2020 19:00,2020-07-16 01:41:00,Delhi,335,11,62,F,Firearm,Violent Crime,10,Yes,13-08-2020 17:00,7,18,1
4728,2020-07-18 04:00:00,07-15-2020 23:00,2020-07-16 04:09:00,Mumbai,175,13,33,F,Poison,Other Crime,2,Yes,30-08-2020 04:00,7,18,4
4737,2020-07-18 16:00:00,07-16-2020 08:00,2020-07-16 19:05:00,Bangalore,196,14,78,F,Blunt Object,Other Crime,2,Yes,24-07-2020 16:00,7,18,19
4740,2020-07-17 21:00:00,07-16-2020 11:00,2020-07-17 10:30:00,Vasai,545,10,28,F,Knife,Other Crime,6,Yes,22-05-2021 21:00,7,17,10
4742,2020-07-17 12:00:00,07-16-2020 13:00,2020-07-17 07:09:00,Thane,464,18,40,F,Knife,Traffic Fatality,4,Yes,22-07-2020 12:00,7,17,7
4744,2020-07-18 05:00:00,07-16-2020 15:00,2020-07-17 08:52:00,Bangalore,377,14,62,F,Firearm,Other Crime,3,Yes,12-08-2020 05:00,7,18,8
4746,2020-07-18 09:00:00,07-16-2020 17:00,2020-07-17 06:24:00,Nagpur,197,9,70,F,Knife,Other Crime,13,Yes,04-10-2020 09:00,7,18,6
4747,2020-07-18 13:00:00,07-16-2020 18:00,2020-07-16 19:39:00,Mumbai,314,12,66,F,Poison,Other Crime,19,Yes,26-07-2020 13:00,7,18,19
4759,2020-07-18 20:00:00,07-17-2020 06:00,2020-07-17 22:43:00,Pune,148,0,63,M,Firearm,Fire Accident,7,Yes,20-09-2020 20:00,7,18,22
4761,2020-07-18 16:00:00,07-17-2020 08:00,2020-07-17 17:46:00,Mumbai,150,13,61,F,Knife,Other Crime,3,Yes,22-08-2020 16:00,7,18,17
4764,2020-07-19 09:00:00,07-17-2020 11:00,2020-07-17 21:28:00,Ludhiana,443,4,15,F,Blunt Object,Other Crime,18,Yes,19-09-2020 09:00,7,19,21
4770,2020-07-20 04:00:00,07-17-2020 17:00,2020-07-18 13:51:00,Bangalore,305,5,31,F,Other,Violent Crime,9,Yes,01-09-2020 04:00,7,20,13
4771,2020-07-18 02:00:00,07-17-2020 18:00,2020-07-18 07:58:00,Varanasi,138,15,35,M,Other,Violent Crime,6,Yes,12-12-2020 02:00,7,18,7
4772,2020-07-20 05:00:00,07-17-2020 19:00,2020-07-18 12:56:00,Hyderabad,119,0,13,F,Explosives,Fire Accident,2,Yes,22-08-2020 05:00,7,20,12
