Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,month,day,hour,Latitude,Longitude
10670,2021-03-22 21:00:00,03-20-2021 13:00,2021-03-21 09:52:00,Ghaziabad,456,13,74,F,Poison,Other Crime,11,Yes,23-04-2021 21:00,3,22,9,28.7749966,77.4586967
10671,2021-03-22 12:00:00,03-20-2021 14:00,2021-03-21 07:14:00,Bangalore,549,17,66,F,Knife,Other Crime,11,Yes,02-06-2021 12:00,3,22,7,12.9767936,77.590082
10673,2021-03-22 13:00:00,03-20-2021 16:00,2021-03-21 15:12:00,Delhi,343,13,38,F,Other,Other Crime,17,Yes,12-06-2021 13:00,3,22,15,28.6138954,77.2090057
10675,2021-03-21 01:00:00,03-20-2021 18:00,2021-03-21 04:05:00,Delhi,424,19,48,F,Blunt Object,Other Crime,7,Yes,11-05-2021 01:00,3,21,4,28.6138954,77.2090057
10677,2021-03-22 11:00:00,03-20-2021 20:00,2021-03-21 18:55:00,Delhi,369,5,51,M,Other,Violent Crime,16,Yes,02-04-2021 11:00,3,22,18,28.6138954,77.2090057
10678,2021-03-23 18:00:00,03-20-2021 21:00,2021-03-21 13:07:00,Jaipur,338,5,12,F,Poison,Violent Crime,9,Yes,31-05-2021 18:00,3,23,13,26.9154576,75.8189817
10682,2021-03-21 09:00:00,03-21-2021 01:00,2021-03-21 10:23:00,Jaipur,112,12,26,F,Poison,Other Crime,16,Yes,19-04-2021 09:00,3,21,10,26.9154576,75.8189817
10684,2021-03-23 19:00:00,03-21-2021 03:00,2021-03-21 17:13:00,Ahmedabad,255,2,11,F,Other,Other Crime,11,Yes,08-09-2021 19:00,3,23,17,23.0215374,72.5800568
10687,2021-03-22 15:00:00,03-21-2021 06:00,2021-03-22 03:28:00,Hyderabad,331,18,74,M,Explosives,Traffic Fatality,1,Yes,23-03-2021 15:00,3,22,3,17.360589,78.4740613
10693,2021-03-24 10:00:00,03-21-2021 12:00,2021-03-22 06:17:00,Ahmedabad,460,9,23,F,Knife,Other Crime,12,Yes,31-03-2021 10:00,3,24,6,23.0215374,72.5800568
10694,2021-03-22 12:00:00,03-21-2021 13:00,2021-03-21 20:39:00,Kolkata,277,8,40,M,Other,Fire Accident,5,Yes,18-05-2021 12:00,3,22,20,22.5726459,88.3638953
10695,2021-03-24 04:00:00,03-21-2021 14:00,2021-03-22 04:12:00,Kanpur,596,1,35,M,Firearm,Violent Crime,15,Yes,13-05-2021 04:00,3,24,4,26.4609135,80.3217588
10696,2021-03-23 13:00:00,03-21-2021 15:00,2021-03-21 18:25:00,Patna,120,11,38,F,Blunt Object,Violent Crime,11,Yes,22-04-2021 13:00,3,23,18,25.6093239,85.1235252
10697,2021-03-21 19:00:00,03-21-2021 16:00,2021-03-21 19:37:00,Bangalore,404,9,45,F,Explosives,Other Crime,5,Yes,06-04-2021 19:00,3,21,19,12.9767936,77.590082
10699,2021-03-22 06:00:00,03-21-2021 18:00,2021-03-22 08:04:00,Chennai,578,13,50,F,Explosives,Other Crime,19,Yes,12-05-2021 06:00,3,22,8,13.0836939,80.270186
10701,2021-03-22 02:00:00,03-21-2021 20:00,2021-03-22 11:18:00,Pune,196,19,21,F,Knife,Other Crime,13,Yes,12-05-2021 02:00,3,22,11,18.5213738,73.8545071
10702,2021-03-22 00:00:00,03-21-2021 21:00,2021-03-22 17:00:00,Delhi,455,10,32,F,Blunt Object,Other Crime,5,Yes,21-01-2022 00:00,3,22,17,28.6138954,77.2090057
10703,2021-03-23 19:00:00,03-21-2021 22:00,2021-03-22 18:36:00,Kanpur,167,17,16,M,Other,Other Crime,18,Yes,28-04-2021 19:00,3,23,18,26.4609135,80.3217588
10705,2021-03-24 22:00:00,03-22-2021 00:00,2021-03-22 19:18:00,Lucknow,286,4,78,M,Firearm,Other Crime,2,Yes,19-05-2021 22:00,3,24,19,26.8381,80.9346001
10709,2021-03-22 20:00:00,03-22-2021 04:00,2021-03-22 04:02:00,Hyderabad,129,7,67,M,Knife,Other Crime,6,Yes,16-05-2021 20:00,3,22,4,17.360589,78.4740613
10712,2021-03-23 03:00:00,03-22-2021 07:00,2021-03-23 01:49:00,Nashik,406,2,50,M,Other,Other Crime,2,Yes,12-08-2021 03:00,3,23,1,20.0112475,73.7902364
10715,2021-03-25 00:00:00,03-22-2021 10:00,2021-03-22 16:13:00,Bangalore,585,7,37,F,Explosives,Other Crime,5,Yes,20-04-2021 00:00,3,25,16,12.9767936,77.590082
10720,2021-03-22 19:00:00,03-22-2021 15:00,2021-03-23 05:20:00,Lucknow,476,12,23,F,Explosives,Other Crime,8,Yes,15-06-2021 19:00,3,22,5,26.8381,80.9346001
10724,2021-03-25 08:00:00,03-22-2021 19:00,2021-03-23 11:27:00,Hyderabad,239,6,48,F,Other,Other Crime,16,Yes,13-04-2021 08:00,3,25,11,17.360589,78.4740613
10726,2021-03-25 17:00:00,03-22-2021 21:00,2021-03-22 21:50:00,Hyderabad,357,15,47,M,Other,Violent Crime,6,Yes,14-06-2021 17:00,3,25,21,17.360589,78.4740613
10728,2021-03-23 06:00:00,03-22-2021 23:00,2021-03-23 00:51:00,Nagpur,521,6,19,F,Explosives,Other Crime,12,Yes,13-05-2021 06:00,3,23,0,21.1498134,79.0820556
10735,2021-03-23 11:00:00,03-23-2021 06:00,2021-03-23 09:41:00,Hyderabad,284,13,47,F,Blunt Object,Other Crime,5,Yes,22-04-2021 11:00,3,23,9,17.360589,78.4740613
10736,2021-03-24 07:00:00,03-23-2021 07:00,2021-03-23 07:53:00,Hyderabad,432,12,78,M,Blunt Object,Other Crime,10,Yes,05-05-2021 07:00,3,24,7,17.360589,78.4740613
10737,2021-03-25 14:00:00,03-23-2021 08:00,2021-03-24 01:18:00,Delhi,323,2,59,F,Poison,Other Crime,15,Yes,12-05-2021 14:00,3,25,1,28.6138954,77.2090057
10744,2021-03-24 22:00:00,03-23-2021 15:00,2021-03-23 15:05:00,Mumbai,183,5,67,F,Explosives,Violent Crime,6,Yes,07-04-2021 22:00,3,24,15,19.054999,72.8692035
10745,2021-03-23 23:00:00,03-23-2021 16:00,2021-03-23 22:29:00,Kolkata,126,8,18,M,Poison,Fire Accident,6,Yes,04-04-2021 23:00,3,23,22,22.5726459,88.3638953
10746,2021-03-23 19:00:00,03-23-2021 17:00,2021-03-23 19:56:00,Chennai,488,13,10,F,Other,Other Crime,17,Yes,02-04-2021 19:00,3,23,19,13.0836939,80.270186
10747,2021-03-25 17:00:00,03-23-2021 18:00,2021-03-24 09:13:00,Jaipur,432,19,62,F,Other,Other Crime,17,Yes,17-06-2021 17:00,3,25,9,26.9154576,75.8189817
10749,2021-03-25 18:00:00,03-23-2021 20:00,2021-03-23 20:43:00,Chennai,386,18,49,M,Firearm,Traffic Fatality,8,Yes,04-04-2021 18:00,3,25,20,13.0836939,80.270186
10751,2021-03-25 04:00:00,03-23-2021 22:00,2021-03-24 01:24:00,Kolkata,152,0,66,M,Explosives,Fire Accident,8,Yes,06-06-2021 04:00,3,25,1,22.5726459,88.3638953
10752,2021-03-25 06:00:00,03-23-2021 23:00,2021-03-24 05:26:00,Hyderabad,460,15,40,F,Explosives,Violent Crime,16,Yes,30-08-2021 06:00,3,25,5,17.360589,78.4740613
10753,2021-03-24 22:00:00,03-24-2021 00:00,2021-03-24 03:01:00,Bangalore,356,13,12,M,Firearm,Other Crime,3,Yes,08-04-2021 22:00,3,24,3,12.9767936,77.590082
10755,2021-03-26 13:00:00,03-24-2021 02:00,2021-03-24 09:00:00,Ludhiana,164,7,51,F,Other,Other Crime,18,Yes,25-05-2021 13:00,3,26,9,30.9090157,75.851601
10756,2021-03-24 21:00:00,03-24-2021 03:00,2021-03-24 18:14:00,Surat,183,15,18,F,Knife,Violent Crime,9,Yes,29-04-2021 21:00,3,24,18,21.2094892,72.8317058
10757,2021-03-24 05:00:00,03-24-2021 04:00,2021-03-24 11:48:00,Chennai,247,9,34,F,Blunt Object,Other Crime,2,Yes,27-05-2021 05:00,3,24,11,13.0836939,80.270186
10764,2021-03-26 19:00:00,03-24-2021 11:00,2021-03-25 05:31:00,Faridabad,441,19,77,F,Poison,Other Crime,13,Yes,05-05-2021 19:00,3,26,5,28.4031478,77.3105561
10765,2021-03-25 13:00:00,03-24-2021 12:00,2021-03-25 10:08:00,Bhopal,578,17,79,F,Explosives,Other Crime,10,Yes,21-05-2021 13:00,3,25,10,23.2584857,77.401989
10766,2021-03-26 15:00:00,03-24-2021 13:00,2021-03-24 16:27:00,Chennai,215,3,66,F,Explosives,Other Crime,2,Yes,31-05-2021 15:00,3,26,16,13.0836939,80.270186
10768,2021-03-26 08:00:00,03-24-2021 15:00,2021-03-25 06:15:00,Mumbai,101,18,76,M,Blunt Object,Traffic Fatality,18,Yes,20-04-2021 08:00,3,26,6,19.054999,72.8692035
10771,2021-03-25 04:00:00,03-24-2021 18:00,2021-03-25 17:17:00,Mumbai,430,2,22,M,Blunt Object,Other Crime,6,Yes,16-09-2021 04:00,3,25,17,19.054999,72.8692035
10775,2021-03-25 13:00:00,03-24-2021 22:00,2021-03-25 01:12:00,Delhi,405,19,77,M,Other,Other Crime,11,Yes,29-04-2021 13:00,3,25,1,28.6138954,77.2090057
10778,2021-03-27 06:00:00,03-25-2021 01:00,2021-03-26 00:04:00,Kolkata,309,19,53,F,Knife,Other Crime,2,Yes,29-04-2021 06:00,3,27,0,22.5726459,88.3638953
10784,2021-03-28 04:00:00,03-25-2021 07:00,2021-03-26 05:31:00,Lucknow,262,17,56,F,Firearm,Other Crime,12,Yes,05-04-2021 04:00,3,28,5,26.8381,80.9346001
10786,2021-03-27 08:00:00,03-25-2021 09:00,2021-03-25 17:30:00,Kolkata,136,20,65,F,Blunt Object,Violent Crime,2,Yes,19-04-2021 08:00,3,27,17,22.5726459,88.3638953
10790,2021-03-28 00:00:00,03-25-2021 13:00,2021-03-26 00:39:00,Jaipur,289,9,42,F,Other,Other Crime,9,Yes,20-04-2021 00:00,3,28,0,26.9154576,75.8189817
10792,2021-03-28 04:00:00,03-25-2021 15:00,2021-03-26 02:32:00,Indore,301,18,10,M,Blunt Object,Traffic Fatality,4,Yes,22-04-2021 04:00,3,28,2,22.7203616,75.8681996
10793,2021-03-26 20:00:00,03-25-2021 16:00,2021-03-25 17:32:00,Mumbai,372,4,19,F,Blunt Object,Other Crime,19,Yes,24-05-2021 20:00,3,26,17,19.054999,72.8692035
10794,2021-03-27 20:00:00,03-25-2021 17:00,2021-03-25 17:42:00,Mumbai,469,5,56,F,Other,Violent Crime,13,Yes,13-05-2021 20:00,3,27,17,19.054999,72.8692035
10797,2021-03-27 01:00:00,03-25-2021 20:00,2021-03-26 13:01:00,Delhi,489,14,71,M,Poison,Other Crime,13,Yes,15-04-2021 01:00,3,27,13,28.6138954,77.2090057
10799,2021-03-28 09:00:00,03-25-2021 22:00,2021-03-26 13:34:00,Jaipur,104,11,77,M,Knife,Violent Crime,5,Yes,14-06-2021 09:00,3,28,13,26.9154576,75.8189817
10800,2021-03-28 05:00:00,03-25-2021 23:00,2021-03-26 08:41:00,Delhi,427,14,22,F,Explosives,Other Crime,19,Yes,14-04-2021 05:00,3,28,8,28.6138954,77.2090057
10803,2021-03-28 01:00:00,03-26-2021 02:00,2021-03-26 10:43:00,Delhi,235,7,37,F,Poison,Other Crime,15,Yes,28-04-2021 01:00,3,28,10,28.6138954,77.2090057
10805,2021-03-26 07:00:00,03-26-2021 04:00,2021-03-26 09:36:00,Delhi,105,17,36,F,Knife,Other Crime,2,Yes,21-06-2021 07:00,3,26,9,28.6138954,77.2090057
10807,2021-03-27 19:00:00,03-26-2021 06:00,2021-03-26 06:17:00,Nagpur,251,10,42,F,Blunt Object,Other Crime,9,Yes,01-01-2023 19:00,3,27,6,21.1498134,79.0820556
10808,2021-03-27 10:00:00,03-26-2021 07:00,2021-03-26 19:49:00,Delhi,550,0,10,M,Firearm,Fire Accident,12,Yes,18-06-2021 10:00,3,27,19,28.6138954,77.2090057
10809,2021-03-26 19:00:00,03-26-2021 08:00,2021-03-26 22:37:00,Delhi,584,20,13,M,Poison,Violent Crime,17,Yes,05-06-2021 19:00,3,26,22,28.6138954,77.2090057
10810,2021-03-28 13:00:00,03-26-2021 09:00,2021-03-26 22:59:00,Kalyan,296,9,43,M,Poison,Other Crime,8,Yes,20-04-2021 13:00,3,28,22,19.2396742,73.1366482
10812,2021-03-27 22:00:00,03-26-2021 11:00,2021-03-27 10:32:00,Visakhapatnam,113,9,68,F,Poison,Other Crime,1,Yes,08-06-2021 22:00,3,27,10,17.6935526,83.2921297
10818,2021-03-28 10:00:00,03-26-2021 17:00,2021-03-27 08:51:00,Varanasi,566,5,52,F,Explosives,Violent Crime,19,Yes,18-04-2021 10:00,3,28,8,25.3356491,83.0076292
10821,2021-03-28 12:00:00,03-26-2021 20:00,2021-03-26 23:20:00,Delhi,197,11,66,F,Firearm,Violent Crime,8,Yes,13-05-2021 12:00,3,28,23,28.6138954,77.2090057
10822,2021-03-27 23:00:00,03-26-2021 21:00,2021-03-27 15:02:00,Lucknow,297,14,75,F,Poison,Other Crime,18,Yes,16-04-2021 23:00,3,27,15,26.8381,80.9346001
10823,2021-03-28 19:00:00,03-26-2021 22:00,2021-03-27 12:58:00,Delhi,112,13,52,M,Knife,Other Crime,13,Yes,07-05-2021 19:00,3,28,12,28.6138954,77.2090057
10827,2021-03-27 21:00:00,03-27-2021 02:00,2021-03-27 10:34:00,Kolkata,297,0,15,M,Firearm,Fire Accident,6,Yes,08-05-2021 21:00,3,27,10,22.5726459,88.3638953
10830,2021-03-29 22:00:00,03-27-2021 05:00,2021-03-27 20:26:00,Jaipur,391,17,75,M,Explosives,Other Crime,13,Yes,08-04-2021 22:00,3,29,20,26.9154576,75.8189817
10834,2021-03-29 04:00:00,03-27-2021 09:00,2021-03-27 21:32:00,Kalyan,171,1,73,F,Blunt Object,Violent Crime,13,Yes,21-04-2021 04:00,3,29,21,19.2396742,73.1366482
10835,2021-03-28 12:00:00,03-27-2021 10:00,2021-03-28 05:26:00,Faridabad,345,18,10,F,Explosives,Traffic Fatality,12,Yes,21-04-2021 12:00,3,28,5,28.4031478,77.3105561
10836,2021-03-28 01:00:00,03-27-2021 11:00,2021-03-28 03:33:00,Bhopal,285,11,42,F,Knife,Violent Crime,12,Yes,17-05-2021 01:00,3,28,3,23.2584857,77.401989
10839,2021-03-30 13:00:00,03-27-2021 14:00,2021-03-28 08:24:00,Nashik,167,14,53,F,Knife,Other Crime,8,Yes,28-04-2021 13:00,3,30,8,20.0112475,73.7902364
10846,2021-03-29 13:00:00,03-27-2021 21:00,2021-03-28 14:22:00,Ludhiana,504,11,20,F,Explosives,Violent Crime,19,Yes,05-04-2021 13:00,3,29,14,30.9090157,75.851601
10847,2021-03-29 15:00:00,03-27-2021 22:00,2021-03-28 09:38:00,Delhi,332,0,46,F,Knife,Fire Accident,17,Yes,14-06-2021 15:00,3,29,9,28.6138954,77.2090057
10850,2021-03-29 22:00:00,03-28-2021 01:00,2021-03-28 10:23:00,Kolkata,182,3,37,F,Firearm,Other Crime,4,Yes,17-04-2021 22:00,3,29,10,22.5726459,88.3638953
10855,2021-03-29 19:00:00,03-28-2021 06:00,2021-03-29 03:49:00,Delhi,159,4,61,F,Other,Other Crime,10,Yes,08-05-2021 19:00,3,29,3,28.6138954,77.2090057
10860,2021-03-29 21:00:00,03-28-2021 11:00,2021-03-29 04:39:00,Delhi,197,11,47,F,Blunt Object,Violent Crime,3,Yes,27-05-2021 21:00,3,29,4,28.6138954,77.2090057
10861,2021-03-31 03:00:00,03-28-2021 12:00,2021-03-28 21:58:00,Indore,138,12,58,F,Explosives,Other Crime,19,Yes,12-04-2021 03:00,3,31,21,22.7203616,75.8681996
10863,2021-03-31 11:00:00,03-28-2021 14:00,2021-03-28 21:39:00,Ahmedabad,314,19,29,F,Poison,Other Crime,4,Yes,02-06-2021 11:00,3,31,21,23.0215374,72.5800568
10868,2021-03-29 23:00:00,03-28-2021 19:00,2021-03-29 04:22:00,Hyderabad,513,4,55,F,Other,Other Crime,8,Yes,16-05-2021 23:00,3,29,4,17.360589,78.4740613
10871,2021-03-30 20:00:00,03-28-2021 22:00,2021-03-29 01:20:00,Delhi,329,16,52,F,Blunt Object,Violent Crime,2,Yes,20-10-2021 20:00,3,30,1,28.6138954,77.2090057
10874,2021-03-31 07:00:00,03-29-2021 01:00,2021-03-29 06:04:00,Lucknow,196,12,75,M,Poison,Other Crime,3,Yes,25-05-2021 07:00,3,31,6,26.8381,80.9346001
10877,2021-03-29 14:00:00,03-29-2021 04:00,2021-03-29 04:27:00,Pune,574,8,51,F,Firearm,Fire Accident,17,Yes,24-06-2021 14:00,3,29,4,18.5213738,73.8545071
10879,2021-03-30 21:00:00,03-29-2021 06:00,2021-03-29 18:22:00,Surat,183,14,15,F,Knife,Other Crime,3,Yes,08-04-2021 21:00,3,30,18,21.2094892,72.8317058
10880,2021-03-29 22:00:00,03-29-2021 07:00,2021-03-29 17:18:00,Indore,544,16,43,F,Knife,Violent Crime,19,Yes,19-06-2022 22:00,3,29,17,22.7203616,75.8681996
10883,2021-03-29 18:00:00,03-29-2021 10:00,2021-03-29 18:44:00,Ghaziabad,579,3,20,F,Blunt Object,Other Crime,11,Yes,12-06-2021 18:00,3,29,18,28.7749966,77.4586967
10886,2021-03-30 23:00:00,03-29-2021 13:00,2021-03-30 01:55:00,Lucknow,172,15,27,F,Knife,Violent Crime,3,Yes,22-05-2021 23:00,3,30,1,26.8381,80.9346001
10890,2021-03-30 15:00:00,03-29-2021 17:00,2021-03-30 00:46:00,Visakhapatnam,540,8,26,M,Other,Fire Accident,19,Yes,09-06-2021 15:00,3,30,0,17.6935526,83.2921297
10894,2021-03-31 10:00:00,03-29-2021 21:00,2021-03-30 04:30:00,Bangalore,135,5,13,F,Blunt Object,Violent Crime,4,Yes,12-05-2021 10:00,3,31,4,12.9767936,77.590082
10903,2021-04-01 07:00:00,03-30-2021 06:00,2021-03-31 04:09:00,Mumbai,320,10,78,F,Blunt Object,Other Crime,15,Yes,13-01-2023 07:00,4,1,4,19.054999,72.8692035
10906,2021-04-01 19:00:00,03-30-2021 09:00,2021-03-31 06:07:00,Thane,220,17,10,M,Other,Other Crime,11,Yes,23-06-2021 19:00,4,1,6,19.3653598,73.3685437
10910,2021-03-31 03:00:00,03-30-2021 13:00,2021-03-30 18:47:00,Lucknow,490,9,11,M,Knife,Other Crime,18,Yes,16-04-2021 03:00,3,31,18,26.8381,80.9346001
10911,2021-03-31 16:00:00,03-30-2021 14:00,2021-03-30 18:18:00,Ahmedabad,131,6,43,F,Other,Other Crime,11,Yes,26-04-2021 16:00,3,31,18,23.0215374,72.5800568
10913,2021-03-31 04:00:00,03-30-2021 16:00,2021-03-30 23:59:00,Mumbai,387,20,59,F,Knife,Violent Crime,6,Yes,07-04-2021 04:00,3,31,23,19.054999,72.8692035
10915,2021-04-02 14:00:00,03-30-2021 18:00,2021-03-31 04:31:00,Chennai,358,20,30,M,Blunt Object,Violent Crime,3,Yes,19-06-2021 14:00,4,2,4,13.0836939,80.270186
10916,2021-04-02 15:00:00,03-30-2021 19:00,2021-03-31 13:46:00,Delhi,215,3,71,F,Firearm,Other Crime,12,Yes,09-05-2021 15:00,4,2,13,28.6138954,77.2090057
10918,2021-04-01 13:00:00,03-30-2021 21:00,2021-03-31 01:44:00,Surat,390,0,45,M,Other,Fire Accident,8,Yes,16-06-2021 13:00,4,1,1,21.2094892,72.8317058
10919,2021-04-01 00:00:00,03-30-2021 22:00,2021-03-30 23:58:00,Ghaziabad,430,10,71,M,Other,Other Crime,17,Yes,18-04-2022 00:00,4,1,23,28.7749966,77.4586967
10921,2021-04-01 19:00:00,03-31-2021 00:00,2021-03-31 13:32:00,Delhi,287,19,26,M,Blunt Object,Other Crime,5,Yes,06-06-2021 19:00,4,1,13,28.6138954,77.2090057
10923,2021-04-01 20:00:00,03-31-2021 02:00,2021-03-31 14:45:00,Pune,155,13,12,F,Firearm,Other Crime,8,Yes,02-05-2021 20:00,4,1,14,18.5213738,73.8545071
10926,2021-04-01 04:00:00,03-31-2021 05:00,2021-03-31 05:03:00,Bangalore,214,12,15,M,Other,Other Crime,2,Yes,30-04-2021 04:00,4,1,5,12.9767936,77.590082
10927,2021-03-31 22:00:00,03-31-2021 06:00,2021-04-01 03:26:00,Ahmedabad,160,4,36,M,Knife,Other Crime,8,Yes,27-06-2021 22:00,3,31,3,23.0215374,72.5800568
10928,2021-03-31 09:00:00,03-31-2021 07:00,2021-03-31 12:13:00,Mumbai,436,8,20,M,Other,Fire Accident,9,Yes,03-05-2021 09:00,3,31,12,19.054999,72.8692035
10929,2021-04-02 13:00:00,03-31-2021 08:00,2021-04-01 06:42:00,Bangalore,322,1,43,F,Blunt Object,Violent Crime,15,Yes,09-06-2021 13:00,4,2,6,12.9767936,77.590082
10930,2021-04-01 01:00:00,03-31-2021 09:00,2021-03-31 13:34:00,Chennai,303,14,73,F,Knife,Other Crime,7,Yes,28-04-2021 01:00,4,1,13,13.0836939,80.270186
10931,2021-04-02 10:00:00,03-31-2021 10:00,2021-03-31 21:23:00,Hyderabad,264,17,38,F,Other,Other Crime,6,Yes,03-06-2021 10:00,4,2,21,17.360589,78.4740613
10932,2021-04-01 09:00:00,03-31-2021 11:00,2021-03-31 22:39:00,Pune,499,1,48,M,Explosives,Violent Crime,8,Yes,12-06-2021 09:00,4,1,22,18.5213738,73.8545071
10936,2021-04-02 19:00:00,03-31-2021 15:00,2021-04-01 03:39:00,Kanpur,258,3,38,F,Firearm,Other Crime,10,Yes,28-06-2021 19:00,4,2,3,26.4609135,80.3217588
10937,2021-04-01 04:00:00,03-31-2021 16:00,2021-03-31 18:45:00,Chennai,159,20,35,F,Knife,Violent Crime,13,Yes,27-06-2021 04:00,4,1,18,13.0836939,80.270186
10940,2021-04-03 03:00:00,03-31-2021 19:00,2021-03-31 21:30:00,Hyderabad,117,1,28,M,Other,Violent Crime,2,Yes,13-06-2021 03:00,4,3,21,17.360589,78.4740613
10941,2021-04-03 19:00:00,03-31-2021 20:00,2021-04-01 12:52:00,Delhi,589,18,67,M,Knife,Traffic Fatality,16,Yes,30-04-2021 19:00,4,3,12,28.6138954,77.2090057
10943,2021-04-02 13:00:00,03-31-2021 22:00,2021-04-01 20:07:00,Delhi,417,8,43,F,Other,Fire Accident,3,Yes,11-04-2021 13:00,4,2,20,28.6138954,77.2090057
10946,2021-04-01 16:00:00,04-01-2021 01:00,2021-04-01 11:54:00,Kolkata,308,9,17,F,Explosives,Other Crime,16,Yes,21-05-2021 16:00,4,1,11,22.5726459,88.3638953
10949,2021-04-03 09:00:00,04-01-2021 04:00,2021-04-01 19:34:00,Hyderabad,294,8,68,F,Explosives,Fire Accident,4,Yes,03-06-2021 09:00,4,3,19,17.360589,78.4740613
10950,2021-04-03 08:00:00,04-01-2021 05:00,2021-04-01 23:54:00,Mumbai,544,13,54,M,Firearm,Other Crime,18,Yes,21-04-2021 08:00,4,3,23,19.054999,72.8692035
10952,2021-04-02 00:00:00,04-01-2021 07:00,2021-04-01 11:03:00,Pune,231,16,36,F,Poison,Violent Crime,9,Yes,25-02-2022 00:00,4,2,11,18.5213738,73.8545071
10962,2021-04-03 21:00:00,04-01-2021 17:00,2021-04-01 23:44:00,Pune,148,9,47,F,Poison,Other Crime,17,Yes,01-05-2021 21:00,4,3,23,18.5213738,73.8545071
10963,2021-04-03 15:00:00,04-01-2021 18:00,2021-04-02 02:38:00,Srinagar,500,13,71,F,Poison,Other Crime,1,Yes,15-06-2021 15:00,4,3,2,34.0747444,74.8204443
10966,2021-04-03 22:00:00,04-01-2021 21:00,2021-04-02 00:11:00,Meerut,421,18,76,F,Knife,Traffic Fatality,6,Yes,20-04-2021 22:00,4,3,0,29.0018557,77.7679671
10969,2021-04-03 05:00:00,04-02-2021 00:00,2021-04-02 18:47:00,Chennai,356,8,38,F,Poison,Fire Accident,2,Yes,20-04-2021 05:00,4,3,18,13.0836939,80.270186
10970,2021-04-03 19:00:00,04-02-2021 01:00,2021-04-02 19:32:00,Thane,128,5,28,F,Knife,Violent Crime,16,Yes,28-04-2021 19:00,4,3,19,19.3653598,73.3685437
10972,2021-04-02 04:00:00,04-02-2021 03:00,2021-04-02 14:25:00,Indore,522,10,77,F,Firearm,Other Crime,19,Yes,13-03-2023 04:00,4,2,14,22.7203616,75.8681996
10974,2021-04-03 03:00:00,04-02-2021 05:00,2021-04-02 20:14:00,Varanasi,352,7,23,F,Other,Other Crime,13,Yes,17-04-2021 03:00,4,3,20,25.3356491,83.0076292
10976,2021-04-03 22:00:00,04-02-2021 07:00,2021-04-02 09:22:00,Pune,400,4,51,M,Poison,Other Crime,14,Yes,24-06-2021 22:00,4,3,9,18.5213738,73.8545071
10978,2021-04-04 07:00:00,04-02-2021 09:00,2021-04-02 18:49:00,Vasai,356,7,18,F,Firearm,Other Crime,3,Yes,28-04-2021 07:00,4,4,18,19.3428238,72.805441
10980,2021-04-03 17:00:00,04-02-2021 11:00,2021-04-02 11:45:00,Bhopal,548,12,45,M,Other,Other Crime,1,Yes,19-04-2021 17:00,4,3,11,23.2584857,77.401989
10983,2021-04-02 19:00:00,04-02-2021 14:00,2021-04-03 05:04:00,Visakhapatnam,117,1,32,M,Blunt Object,Violent Crime,6,Yes,29-04-2021 19:00,4,2,5,17.6935526,83.2921297
10985,2021-04-03 03:00:00,04-02-2021 16:00,2021-04-02 20:49:00,Ahmedabad,510,18,34,F,Poison,Traffic Fatality,3,Yes,02-05-2021 03:00,4,3,20,23.0215374,72.5800568
10988,2021-04-03 12:00:00,04-02-2021 19:00,2021-04-03 16:13:00,Agra,455,18,25,F,Knife,Traffic Fatality,7,Yes,01-05-2021 12:00,4,3,16,27.1752554,78.0098161
10990,2021-04-03 01:00:00,04-02-2021 21:00,2021-04-03 14:41:00,Delhi,357,5,43,M,Firearm,Violent Crime,18,Yes,13-05-2021 01:00,4,3,14,28.6138954,77.2090057
10994,2021-04-04 21:00:00,04-03-2021 01:00,2021-04-03 11:06:00,Delhi,262,12,56,F,Blunt Object,Other Crime,12,Yes,24-05-2021 21:00,4,4,11,28.6138954,77.2090057
10999,2021-04-05 02:00:00,04-03-2021 06:00,2021-04-04 01:19:00,Mumbai,115,10,71,M,Knife,Other Crime,5,Yes,27-09-2022 02:00,4,5,1,19.054999,72.8692035
11001,2021-04-05 07:00:00,04-03-2021 08:00,2021-04-04 07:10:00,Chennai,330,13,28,F,Poison,Other Crime,8,Yes,25-05-2021 07:00,4,5,7,13.0836939,80.270186
11003,2021-04-03 13:00:00,04-03-2021 10:00,2021-04-03 17:47:00,Jaipur,225,15,65,F,Blunt Object,Violent Crime,3,Yes,29-07-2021 13:00,4,3,17,26.9154576,75.8189817
11007,2021-04-04 12:00:00,04-03-2021 14:00,2021-04-04 02:58:00,Visakhapatnam,382,2,43,M,Firearm,Other Crime,18,Yes,22-07-2021 12:00,4,4,2,17.6935526,83.2921297
11009,2021-04-05 22:00:00,04-03-2021 16:00,2021-04-03 19:41:00,Delhi,514,20,43,F,Explosives,Violent Crime,16,Yes,12-04-2021 22:00,4,5,19,28.6138954,77.2090057
11010,2021-04-04 03:00:00,04-03-2021 17:00,2021-04-04 16:23:00,Bangalore,514,2,21,F,Knife,Other Crime,17,Yes,06-08-2021 03:00,4,4,16,12.9767936,77.590082
11016,2021-04-06 03:00:00,04-03-2021 23:00,2021-04-04 13:10:00,Kolkata,515,2,28,F,Blunt Object,Other Crime,18,Yes,21-09-2021 03:00,4,6,13,22.5726459,88.3638953
